review_id,cid,population,groupe,etiquette,note,supprime,n_caracteres
Ci9DQUlRQUNvZENodHljRjlvT21SRFJGTm5RbEZoVERCV2NXZEJVRXM0VGpadWRtYxAB,15663344649007062969,1_etoile_anglais_hors_enseignes,2,,1,False,521
Ci9DQUlRQUNvZENodHljRjlvT21SeFdHcHhRVVoyWjFobFQyZHliR3hHZFc0dFJtYxAB,8052368828257997161,1_etoile_anglais_hors_enseignes,2,,1,False,172
Ci9DQUlRQUNvZENodHljRjlvT21VNFV6RjBaa2xLWnpGR2RGRlFia1ptUldSRFdrRRAB,3038649544529571491,1_etoile_anglais_hors_enseignes,2,,1,False,261
Ci9DQUlRQUNvZENodHljRjlvT21VeVVIbFdiM1Y0TFU1VVIzZHNTRUl0V0VrNFZWRRAB,18441819117692320053,1_etoile_anglais_hors_enseignes,2,,1,False,880
Ci9DQUlRQUNvZENodHljRjlvT21aNk1FWlNiblp0YzNaS1VrVmFObkpITURaSVpuYxAB,16986220602998330974,1_etoile_anglais_hors_enseignes,2,,1,False,182
Ci9DQUlRQUNvZENodHljRjlvT21remJISTVOakJUVGtoVllqUjNTVXhVTWpCSE1HYxAB,409712946758438997,1_etoile_anglais_hors_enseignes,2,,1,False,460
Ci9DQUlRQUNvZENodHljRjlvT21sVWFuQk1jVTR4VjA5TWJETnNWMTlzVjI4MlUxRRAB,6997993963493740750,1_etoile_anglais_hors_enseignes,2,,1,False,119
Ci9DQUlRQUNvZENodHljRjlvT21vNE9XOWlkWGRGV21KaVpIRkVaRU42ZEVKdE4xRRAB,6766260821143777291,1_etoile_anglais_hors_enseignes,2,,1,False,210
Ci9DQUlRQUNvZENodHljRjlvT21wR1VIbFhhbkF3YjFCR2VETkplRjl3VkRSM1UyYxAB,13454390046806476880,1_etoile_anglais_hors_enseignes,2,,1,False,443
Ci9DQUlRQUNvZENodHljRjlvT21wclJqWkxRVEJuZVhKSGFXcExOMm90Ymt0YVJuYxAB,9773764681262796319,1_etoile_anglais_hors_enseignes,2,,1,False,245
Ci9DQUlRQUNvZENodHljRjlvT25CdFZuWllOMFkyWHpSTmMxVTRTVU0zTFVsSmMyYxAB,14077206240298920582,1_etoile_anglais_hors_enseignes,2,,1,False,483
